IS_Name	IS_Family	IS_Group
ISNsh1	IS1595	IS1016
ISNsp1	IS982	IS982
ISNsp2	IS200/IS605	IS605
ISNsp3	IS200/IS605	IS605
ISNsp4	ISAzo13	ISAzo13
ISNsp5	ISKra4	ISMich2
ISNsp6	ISKra4	ISMich2
ISNspu1	ISLre2	ISLre2
ISNth1	IS6	IS6
ISNth2	ISLre2	ISLre2
ISNti1	IS200/IS605	IS1341
ISNtsp1	IS5	IS5
ISNtsp2	ISNCY	ISDol1
ISNtsp3	IS1595	ISPna2
ISNtsp4	IS1595	ISPna2
ISNtsp5	IS1595	IS1595
ISNtsp6	IS1595	IS1016
ISNur1	IS1595	IS1016
ISNwa1	IS1595	IS1016
ISNwa2	IS1595	IS1016
ISNwi1	IS1595	ISNwi1
ISNwi2	IS1595	ISNwi1
ISNwi3	IS1595	ISNwi1
ISNwi4	IS1595	ISNha5
ISNwi5	IS481	IS481
ISOan1	ISAs1	ISAs1
ISOan10	IS1595	ISSod11
ISOan2	IS1380	IS1380
ISOan3	IS256	IS256
ISOan4	IS5	IS903
ISOan5	IS256	IS256
ISOan6	IS256	IS256
ISOan7	IS256	IS256
ISOan8	IS256	IS256
ISOan9	IS256	IS256
ISOar1	IS1595	ISPna2
ISOba1	IS3	IS407
ISOba2	IS3	IS407
ISOba3	IS1	ISMhu11
ISOcan1	IS5	IS903
ISOcsp1	IS21	IS21
ISOdsp1	IS1595	IS1595
ISOgr1	IS3	IS51
ISOgr2	IS3	IS2
ISOgr3	IS5	IS903
ISOih1	IS1182	IS1182
ISOih2	IS200/IS605	IS200
ISOni1	ISKra4	ISMich2
ISOni2	ISKra4	ISMich2
ISOpb1	IS1	ISMhu11
ISOpb2	IS5	IS5
ISOpi1	IS1595	ISPna2
ISOrsp1	IS256	IS1249
ISOsp1	IS4	IS4Sa
ISOt3	IS630	IS630
ISOt4	IS982	IS982
ISOt5	IS110	IS110
ISOt6	IS5	ISL2
ISOur1	IS6	IS6
ISP1	ISL3	ISL3
ISP2	IS1182	IS1182
ISPa1	ISNCY	ISNCY
ISPa10	IS5	IS5
ISPa100	IS5	IS5
ISPa103	IS256	IS256
ISPa106	IS5	IS5
ISPa107	IS3	IS3
ISPa108	IS21	IS21
ISPa109	IS66	IS66
ISPa11	IS110	IS1111
ISPa119	IS110	IS1111
ISPa12	IS4	ISH8
ISPa121	IS3	IS3
ISPa122	IS66	IS66
ISPa123	IS3	IS407
ISPa124	IS5	IS427
ISPa125	IS256	IS256
ISPa126	IS3	IS3
ISPa127	IS3	IS3
ISPa13	IS4	ISH8
ISPa1328	IS256	IS256
ISPa133	IS3	IS3
ISPa14	IS1	IS1
ISPa16	IS5	IS5
ISPa1635	IS4	IS4
ISPa18	IS200/IS605	IS1341
ISPa195	IS3	IS407
ISPa2	ISNCY	ISNCY
ISPa20	IS3	IS3
ISPa21	IS110	IS1111
ISPa22	IS1182	IS1182
ISPa25	IS110	IS1111
ISPa26	IS5	IS5
ISPa27	IS256	IS256
ISPa29	IS110	IS1111
ISPa30	IS66	IS66
ISPa31	IS3	IS3
ISPa32	IS3	IS407
ISPa33	IS1380	IS1380
ISPa34	IS110	IS1111
ISPa35	IS5	IS903
ISPa36	IS21	IS21
ISPa37	IS30	IS30
ISPa39	IS3	IS407
ISPa4	ISNCY	ISNCY
ISPa41	IS5	IS5
ISPa45	IS4	IS4
ISPa46	IS256	IS256
ISPa47	IS630	IS630
ISPa49	IS110	IS1111
ISPa5	ISNCY	ISNCY
ISPa51	IS5	IS5
ISPa52	IS5	IS5
ISPa53	IS110	IS1111
ISPa54	IS5	IS5
ISPa55	IS110	IS1111
ISPa56	IS3	IS2
ISPa57	IS3	IS3
ISPa59	IS30	IS30
ISPa6	ISNCY	ISNCY
ISPa60	ISAs1	ISAs1
ISPa61	ISL3	ISL3
ISPa62	IS110	IS1111
ISPa63	IS21	IS21
ISPa64	IS21	IS21
ISPa65	IS21	IS21
ISPa67	IS5	IS427
ISPa7	IS1182	IS1182
ISPa71	IS110	IS1111
ISPa72	IS1595	IS1595
ISPa73	IS256	IS256
ISPa74	IS3	IS3
ISPa75	IS66	IS66
ISPa76	IS1182	IS1182
ISPa77	IS21	IS21
ISPa78	IS3	IS51
ISPa79	IS3	IS150
ISPa8	IS5	IS5
ISPa80	IS200/IS605	IS1341
ISPa81	IS200/IS605	IS1341
ISPa82	IS66	IS66
ISPa83	IS200/IS605	IS1341
ISPa85	IS21	IS21
ISPa86	IS3	IS3
ISPa87	IS21	IS21
ISPa9	IS5	IS5
ISPa90	IS1182	IS1182
ISPa91	IS3	IS3
ISPa92	IS1182	IS1182
ISPa94	IS1182	IS1182
ISPa95	IS5	IS5
ISPa96	IS5	IS5
ISPa97	IS66	IS66
ISPa98	IS3	IS3
ISPa99	IS4	IS10
ISPaac1	IS256	IS256
ISPac1	IS5	IS5
ISPae1	IS3	IS407
ISPaen1	IS1380	IS1380
ISPaen2	IS5	IS5
ISPaen3	IS5	IS427
ISPaen4	IS1595	ISPna2
ISPaen5	IS1595	IS1595
ISPaen6	IS1595	IS1595
ISPaen7	IS1595	IS1595
ISPaes1	IS5	IS427
ISPaes2	IS5	IS427
ISPaes3	IS256	IS256
ISPak1	IS5	IS427
ISPal1	IS5	IS427
ISPam1	IS5	IS903
ISPam2	IS5	IS903
ISPam3	IS3	IS407
ISPam4	IS5	IS427
ISPan1	IS5	IS903
ISPana1	IS1595	ISPna2
ISPar1	IS3	IS3
ISPar2	IS3	IS407
ISParac1	IS5	IS903
ISPasp1	IS982	IS982
ISPasp2	IS982	IS982
ISPasp3	IS982	IS982
ISPat1	IS4	IS10
ISPath1	IS110	IS1111
ISPba1	IS1595	IS1595
ISPba2	IS1595	IS1595
ISPba3	IS66	IS66
ISPbe1	IS3	IS407
ISPbe2	IS5	IS427
ISPbo1	IS1595	ISPna2
ISPbu1	IS1595	IS1595
ISPca1	IS4	IS4Sa
ISPca2	IS3	IS51
ISPca3	IS481	IS481
ISPcc1	IS4	IS10
ISPcc2	ISL3	ISL3
ISPcc3	IS4	IS4
ISPcc4	IS1182	IS1182
ISPcc6	IS4	IS4
ISPch1	IS1595	ISPna2
ISPda1	IS1	IS1
ISPda2	IS91	IS91
ISPdo1	IS1595	ISPna2
ISPeat1	IS630	IS630
ISPeat2	IS3	IS3
ISPebe1	IS256	IS256
ISPels1	IS1595	ISPna2
ISPelu1	IS1380	IS1380
ISPemu1	IS1595	ISSod11
ISPen1	IS4	IS4
ISPen2	IS3	IS51
ISPepr1	IS4	ISPepr1
ISPepr2	IS1595	ISNwi1
ISPepr3	IS4	IS4Sa
ISPepr4	IS4	ISPepr1
ISPepr5	IS21	IS21
ISPepr6	IS5	IS5
ISPesp2	IS1595	ISPna2
ISPeth1	ISNCY	ISDol1
ISPeth2	IS5	IS5
ISPeth3	IS256	IS256
ISPeth4	IS256	IS256
ISPfa1	IS110	IS1111
ISPfa2	IS110	IS1111
ISPfe1	IS3	IS407
ISPfe2	IS1634	IS1634
ISPfl1	IS110	IS1111
ISPfl2	IS30	IS30
ISPfl3	IS1182	IS1182
ISPfr1	ISL3	ISL3
ISPfr10	IS3	IS407
ISPfr11	IS3	IS3
ISPfr12	IS3	IS51
ISPfr13	IS3	IS51
ISPfr14	IS30	IS30
ISPfr15	IS481	IS481
ISPfr16	IS30	IS30
ISPfr17	IS481	IS481
ISPfr18	ISL3	ISL3
ISPfr19	IS481	IS481
ISPfr2	ISL3	ISL3
ISPfr20	ISL3	ISL3
ISPfr21	IS481	IS481
ISPfr3	ISL3	ISL3
ISPfr4	ISL3	ISL3
ISPfr5	IS481	IS481
ISPfr6	ISL3	ISL3
ISPfr7	ISL3	ISL3
ISPfr8	ISL3	ISL3
ISPfr9	IS30	IS30
ISPfu1	IS6	IS6
ISPfu2	IS6	IS6
ISPfu3	IS982	IS982
ISPfu4	IS607	IS607
ISPfu5	IS6	IS6
ISPg2	ISAs1	ISAs1
ISPg4	IS4	IS4Sa
ISPg5	IS3	IS3
ISPg6	ISAs1	ISAs1
ISPg7	IS5	IS5
ISPg8	IS5	IS5
ISPge1	IS1595	IS1595
ISPgo1	IS1595	ISSod11
ISPha1	IS5	IS427
ISPha2	IS5	IS5
ISPhae1	IS5	IS5
ISPho1	IS1595	ISSod11
ISPhsp1	IS4	IS4
ISPin1	IS1595	ISPna2
ISPin2	IS3	IS3
ISPin3	IS3	IS3
ISPin4	ISAs1	ISAs1
ISPin5	IS200/IS605	IS200
ISPist1	IS5	IS427
ISPko1	IS5	IS903
ISPko2	IS256	IS256
ISPko3	IS5	IS903
ISPko4	IS3	IS150
ISPko5	IS5	IS427
ISPko6	IS6	IS6
ISPko7	IS110	IS1111
ISPkr1	IS21	IS21
ISPla1	IS1595	ISPna2
ISPlag1	IS701	IS701
ISPlan1	IS701	IS701
ISPlas1	ISNCY	ISDol1
ISPlba1	IS1182	IS1182
ISPlba2	IS1595	ISSod11
ISPlba3	IS1595	IS1595
ISPlba4	IS1595	IS1016
ISPlba5	IS1595	ISSod11
ISPlc1	IS5	IS903
ISPle1	ISKra4	ISMich2
ISPle2	ISKra4	ISKra4
ISPlge2	IS21	IS21
ISPlge3	IS3	IS150
ISPlge4	IS110	IS1111
ISPlma1	ISNCY	ISDol1
ISPlpa1	IS1380	IS1380
ISPlpa2	IS1182	IS1182
ISPlr1	ISAs1	ISAs1
ISPlsp1	IS3	IS150
ISPlu1	IS30	IS30
ISPlu10	IS630	IS630
ISPlu11	IS982	IS982
ISPlu13	IS110	IS110
ISPlu14	IS5	IS5
ISPlu15	ISNCY	ISPlu15
ISPlu16	IS630	IS630
ISPlu17	ISAs1	ISAs1
ISPlu18	ISAs1	ISAs1
ISPlu19	IS630	IS630
ISPlu2	IS200/IS605	IS200
ISPlu20	IS66	IS66
ISPlu21	IS1595	IS1016
ISPlu22	ISNCY	ISPlu15
ISPlu3	IS630	IS630
ISPlu4	IS1634	IS1634
ISPlu5	IS200/IS605	IS200
ISPlu6	IS982	IS982
ISPlu7	IS5	IS427
ISPlu8	IS630	IS630
ISPlu9	IS4	IS50
ISPma1	IS1595	IS1595
ISPman1	IS21	IS21
ISPmar1	IS6	IS6
ISPmar2	IS3	IS407
ISPmar3	IS5	IS5
ISPme1	IS1380	IS1380
ISPme2	IS5	IS427
ISPmi1	IS3	IS51
ISPmi2	IS3	IS3
ISPmi3	IS1	IS1
ISPmo1	IS1182	IS1182
ISPmo2	IS5	IS5
ISPmo3	IS3	IS3
ISPna1	IS630	IS630
ISPna2	IS1595	ISPna2
ISPna3	IS5	IS5
ISPna4	IS5	IS903
ISPna5	IS5	IS903
ISPna6	IS701	ISAba11
ISPosp1	IS4	IS4
ISPosp2	IS701	IS701
ISPosp3	IS1595	ISSod11
ISPosp4	IS4	IS4Sa
ISPosp5	IS3	IS3
ISPosp6	IS481	IS481
ISPosp7	IS1380	IS1380
ISPosp8	IS1595	ISPna2
ISPp1	IS30	IS30
ISPpa1	IS256	IS256
ISPpa2	IS5	IS427
ISPpa3	IS5	IS903
ISPpa4	IS5	IS903
ISPpa5	IS66	IS66
ISPpa6	IS5	IS427
ISPpa7	IS66	IS66
ISPpa8	IS5	IS903
ISPpa9	IS6	IS6
ISPph1	IS1634	IS1634
ISPph2	IS630	IS630
ISPph3	IS1380	IS1380
ISPph4	IS1380	IS1380
ISPph5	ISNCY	ISDol1
ISPpi1	IS1595	IS1016
ISPpn1	IS21	IS21
ISPpr1	IS4	IS10
ISPpr10	ISAs1	ISAs1
ISPpr11	ISAs1	ISAs1
ISPpr12	ISAs1	ISAs1
ISPpr13	IS200/IS605	IS200
ISPpr14	IS66	ISBst12
ISPpr2	IS4	IS10
ISPpr3	IS4	IS50
ISPpr4	IS4	IS50
ISPpr5	IS1595	IS1595
ISPpr6	IS1595	ISPna2
ISPpr7	IS3	IS3
ISPpr8	IS110	IS1111
ISPpr9	IS6	IS6
ISPps1	IS91	IS91
ISPpu1	IS630	IS630
ISPpu10	IS110	IS110
ISPpu11	IS110	IS1111
ISPpu12	ISL3	ISL3
ISPpu13	IS66	IS66
ISPpu14	IS66	IS66
ISPpu15	IS66	IS66
ISPpu16	IS1182	IS1182
ISPpu17	IS30	IS30
ISPpu18	IS5	IS5
ISPpu19	IS66	IS66
ISPpu2	IS630	IS630
ISPpu20	IS1182	IS1182
ISPpu21	IS5	IS5
ISPpu22	IS3	IS51
ISPpu23	IS21	IS21
ISPpu24	IS110	IS1111
ISPpu25	IS110	IS1111
ISPpu27	IS21	IS21
ISPpu29	IS3	IS150
ISPpu3	IS630	IS630
ISPpu30	IS66	IS66
ISPpu31	IS110	IS1111
ISPpu33	IS3	IS51
ISPpu4	IS3	IS3
ISPpu5	IS110	IS1111
ISPpu7	IS21	IS21
ISPpu8	IS4	IS4
ISPpu9	IS110	IS110
ISPpy1	IS3	IS150
ISPre1	IS5	IS5
ISPre2	IS5	IS5
ISPre3	IS66	IS66
ISPre4	IS21	IS21
ISPrmu1	IS1595	IS1595
ISPros1	IS1595	ISSod11
ISPrre1	IS3	IS3
ISPrre10	IS91	IS91
ISPrre11	IS66	IS66
ISPrre2	IS5	IS903
ISPrsp1	IS1595	ISSod11
ISPrsp2	IS982	IS982
ISPrst1	IS4	IS50
ISPrst2	IS5	IS427
ISPrst3	IS5	IS427
ISPs1	IS5	IS427
ISPsa1	IS982	IS982
ISPsa2	IS6	IS6
ISPse1	IS1182	IS1182
ISPsesp1	ISAs1	ISAs1
ISPsfu1	IS5	IS5
ISPsh1	IS1595	IS1016
ISPsko1	IS66	IS66
ISPsko2	IS1182	IS1182
ISPsma1	IS982	IS982
ISPsme1	IS30	IS30
ISPso1	IS256	IS256
ISPso2	IS5	IS427
ISPso3	IS5	IS5
ISPsp1	IS5	IS5
ISPsp10	IS5	IS427
ISPsp12	IS21	IS21
ISPsp16	IS21	IS21
ISPsp2	ISL3	ISL3
ISPsp3	IS5	IS5
ISPsp4	IS30	IS30
ISPsp5	IS1182	IS1182
ISPsp6	IS5	IS5
ISPsp7	IS30	IS30
ISPsp8	IS30	IS30
ISPsp9	IS1380	IS1380
ISPssp1	IS3	IS3
ISPssp2	IS1	IS1
ISPssp3	IS1595	IS1016
ISPssp4	IS256	IS256
